"text";"url";"categories"
"A complete guide to accessible front-end components"; "http://web.archive.org/web/20230321110835/https://www.smashingmagazine.com/2021/03/complete-guide-accessible-front-end-components/"; ""
"A Designer’s code of ethics"; "http://web.archive.org/web/20230321110835/https://deardesignstudent.com/a-designers-code-of-ethics-f4a88aca9e95"; ""
"A guide for shifting thoughts ..."; "http://web.archive.org/web/20230321110835/https://explorer.designcriticalthinking.com/"; ""
"Accessibilité et couleurs : outils et ressources pour concevoir des produits accessible"; "http://web.archive.org/web/20230321110835/https://stephaniewalter.design/fr/blog/accessibilite-et-couleurs-outils-et-ressources-pour-concevoir-des-produits-accessible/"; ""
"Analyse de cycle de vie de la messagerie Treebal"; "http://web.archive.org/web/20230321110835/https://gauthierroussilhe.com/book/treebal/"; ""
"ARIA Authoring Practices Guide"; "http://web.archive.org/web/20230321110835/https://www.w3.org/WAI/ARIA/apg/"; ""
"Automatically convert audio to text"; "http://web.archive.org/web/20230321110835/https://sonix.ai/r/e3WEY89NefAeNKU3a35BawKZ/share"; ""
"Bases de l’accessibilité du gaming"; "http://web.archive.org/web/20230321110835/https://docs.microsoft.com/fr-fr/learn/paths/gaming-accessibility-fundamentals/"; ""
"Belgian web accessibility office"; "http://web.archive.org/web/20230321110835/https://accessibility.belgium.be/fr"; ""
"Buckminster Fuller Institute"; "http://web.archive.org/web/20230321110835/https://www.bfi.org/"; ""
"Building for sustainability with WordPress"; "http://web.archive.org/web/20230321110835/https://sustywp.com/"; ""
"Check-list de qualité Web"; "http://web.archive.org/web/20230321110835/https://checklists.opquast.com/fr/assurance-qualite-web/"; ""
"Cold cms"; "http://web.archive.org/web/20230321110835/https://gitlab.com/hashbangfr/coldcms"; ""
"Collectif Accessibilité Wallonie Bruxelles"; "http://web.archive.org/web/20230321110835/https://cawab.be/"; ""
"Colloque international “Design social, les nouvelles formes de convivialité”"; "http://web.archive.org/web/20230321110835/https://www.esad-valenciennes-recherche.com/textes"; ""
"Comment créer un site web basse technologie"; "http://web.archive.org/web/20230321110835/https://solar.lowtechmagazine.com/fr/2018/09/how-to-build-a-lowtech-website.html"; ""
"comment l’atteindre l’accessibilité numérique ?"; "http://web.archive.org/web/20230321110835/https://www.youtube.com/watch?v=fkTF0sbNvjY"; ""
"Comment le handicap inspire-t-il l’innovation ?"; "http://web.archive.org/web/20230321110835/https://peertube.designersethiques.org/videos/watch/984ab1e3-d9eb-4fd7-bf7c-ce856b61d036"; ""
"Comment réduire l’empreinte écologique d’un service numérique ?"; "http://web.archive.org/web/20230321110835/https://marmelab.com//blog/2022/03/02/reduire-impact-site-web.html"; ""
"Design Accessible"; "http://web.archive.org/web/20230321110835/https://design-accessible.fr/"; ""
"Design systémique"; "http://web.archive.org/web/20230321110835/https://medium.com/la-boussole-des-designers/design-syst%C3%A9mique-579a35674628"; ""
"Documenter l’accessibilité en phase de design"; "http://web.archive.org/web/20230321110835/https://stephaniewalter.design/fr/blog/documenter-accessibilite-en-phase-de-design/"; ""
"Écrire pour ne pas être lu"; "http://web.archive.org/web/20230321110835/https://plumeswithattitude.substack.com/p/crire-pour-ne-pas-tre-lu"; ""
"Écriture inclusive et accessibilité numérique, table ronde lors des Journées d’étude technologies et déficience visuelle"; "http://web.archive.org/web/20230321110835/https://www.lalutineduweb.fr/ecriture-inclusive-accessibilite-numerique-jetdv2020/"; ""
"Enorme retard de la Belgique dans l’accessibilité numérique des personnes porteuses d’un handicap"; "http://web.archive.org/web/20230321110835/https://www.rtbf.be/article/enorme-retard-de-la-belgique-dans-laccessibilite-numerique-des-personnes-porteuses-dun-handicap-10801866"; ""
"Environnement et design - Rosa B - 5° numéro"; "http://web.archive.org/web/20230321110835/http://www.rosab.net/"; ""
"Ethical Design Resources"; "http://web.archive.org/web/20230321110835/https://www.ethicaldesignresources.com/"; ""
"Ethics for Design"; "http://web.archive.org/web/20230321110835/https://vimeo.com/235547814"; ""
"EyeView : l’application de la Fédération des Aveugles de France"; "http://web.archive.org/web/20230321110835/https://aveuglesdefrance.org/eyeview-lapplication-de-la-federation-des-aveugles-de-france/"; ""
"Formation en accessibilité numérique"; "http://web.archive.org/web/20230321110835/https://www.anysurfer.be/fr/services/formation"; ""
"Gauthier Roussilhe"; "http://web.archive.org/web/20230321110835/https://gauthierroussilhe.com/post/besoins-essentiels-tech.html"; ""
"Le guide d’éco-conception de services numériques"; "http://web.archive.org/web/20230321110835/https://eco-conception.designersethiques.org/guide/"; ""
"Le Mouton Numérique"; "http://web.archive.org/web/20230321110835/https://mouton-numerique.org/"; ""
"Les écologies du numérique - conférence filmée"; "http://web.archive.org/web/20230321110835/https://ecolab-esad-orleans.wixsite.com/recherche/video"; ""
"Les exclu.e.s du numérique"; "http://web.archive.org/web/20230321110835/https://jeudi.am/journal/blog/designer-des-services-web-et-mobiles-accessibles-et-inclusifs"; ""
"Mais où va le Web"; "http://web.archive.org/web/20230321110835/https://maisouvaleweb.fr/"; ""
"Monitoring the Planet’s Pulse — Resource Watch"; "http://web.archive.org/web/20230321110835/https://resourcewatch.org/"; ""
"Novembre 2020 - Veille - Les Designers Éthiques"; "http://web.archive.org/web/20230321110835/https://veille.designersethiques.org/2020-11.html"; ""
"Papanek Foundation"; "http://web.archive.org/web/20230321110835/https://papanek.org/"; ""
"PeerTube des Designers Ethiques"; "http://web.archive.org/web/20230321110835/https://peertube.designersethiques.org/videos/trending"; ""
"Practice Tools and Toolkits"; "http://web.archive.org/web/20230321110835/https://systemic-design.org/practice-tools-and-toolkits/"; ""
"S’y retrouver dans les mesures de la consommation d’un site web - Version 1"; "http://web.archive.org/web/20230321110835/https://www.lewebvert.fr/blog/2022-02-22-mesures-web-v1/"; ""
"Stewart Brand"; "http://web.archive.org/web/20230321110835/https://fr.wikipedia.org/w/index.php?title=Stewart_Brand&oldid=188382757"; ""
